degree,specialization,cgpa,internship,projects,skills,job_role
MBA,Mobile Development,6.48,Yes,4,"Networking, Security, Linux, HTML, Statistics",Network Administrator
M.Tech CS,Data Science,7.02,No,8,"Excel, Power BI, SQL, Communication, Roadmaps, CSS",Business Analyst
B.Tech CS,AI & ML,9.15,No,4,"SQL, Oracle, MySQL, NoSQL, Networking, Excel",Database Administrator
M.Tech CS,Networking,6.1,No,8,"SQL, Oracle, MySQL, NoSQL, AWS, Figma",Database Administrator
MCA,Networking,8.8,Yes,4,"HTML, CSS, JavaScript, React, Node.js, Git, CI/CD, Communication",Full Stack Developer
MCA,Cybersecurity,8.2,Yes,2,"HTML, CSS, JavaScript, React, Node.js, Git, Security, C++",Full Stack Developer
MCA,Data Science,5.91,No,0,"HTML, CSS, JavaScript, React, UI/UX, Selenium, Scrum",Frontend Developer
M.Tech CS,Web Development,5.8,No,3,"Docker, Kubernetes, CI/CD, AWS, Linux, Windows Server, Scrum",DevOps Engineer
BCA,Mobile Development,9.3,No,5,"Python, Pandas, Machine Learning, SQL, Statistics, Networking, UI",Data Scientist
MCA,Cloud Computing,6.28,No,5,"Networking, Security, Linux, Swift, Machine Learning",Network Administrator
B.Tech IT,AI & ML,9.9,No,1,"Python, Machine Learning, TensorFlow, Scikit-learn, Communication, Azure",ML Engineer
M.Tech CS,Mobile Development,7.98,No,1,"Excel, Power BI, SQL, Communication, TensorFlow, Roadmaps",Business Analyst
MBA,Mobile Development,8.91,No,7,"Docker, Kubernetes, CI/CD, AWS, Linux, REST API, Adobe XD",DevOps Engineer
B.Tech IT,Data Science,7.11,Yes,5,"Python, Machine Learning, TensorFlow, Scikit-learn, UI/UX, Roadmaps",ML Engineer
B.Sc Computer Science,Mobile Development,9.87,Yes,0,"Selenium, Testing, Automation, Git, Swift, JavaScript",QA/Test Engineer
B.Tech IT,Web Development,7.8,Yes,2,"Python, Java, C++, DSA, Git, Node.js, TensorFlow",Software Developer
MCA,Cybersecurity,8.91,Yes,2,"HTML, CSS, JavaScript, React, Node.js, Git, Security, UI",Full Stack Developer
B.Tech CS,Data Science,7.54,No,2,"Agile, Scrum, Leadership, Planning, DSA, Figma",Project Manager
M.Tech CS,Data Science,7.34,No,2,"Selenium, Testing, Automation, Git, Communication, Question/Answer",QA/Test Engineer
B.Tech IT,Cloud Computing,5.68,Yes,7,"Excel, Power BI, SQL, Communication, Roadmaps, REST API",Business Analyst
B.Tech CS,Networking,8.52,Yes,5,"Selenium, Testing, Automation, Git, React Native, Windows Server",QA/Test Engineer
M.Tech CS,Cybersecurity,7.46,No,2,"Linux, Windows Server, Networking, GCP, Communication",System Administrator
M.Tech CS,AI & ML,9.72,Yes,0,"Troubleshooting, Windows Server, Question/Answer, Automation, Linux",IT Support Specialist
B.Sc Computer Science,Data Science,9.33,No,6,"Troubleshooting, Windows Server, Question/Answer, DSA, Firewalls",IT Support Specialist
B.Tech CS,Mobile Development,5.63,Yes,4,"AWS, Azure, GCP, Docker, UI, Roadmaps",Cloud Engineer
M.Sc CS,AI & ML,8.53,Yes,6,"Troubleshooting, Windows Server, Question/Answer, Kotlin, Adobe XD",IT Support Specialist
BCA,Mobile Development,9.27,Yes,3,"Networking, Security, Linux, Statistics, Oracle",Network Administrator
M.Tech CS,Cybersecurity,9.93,No,6,"Java, Kotlin, Swift, React Native, Networking, HTML",Mobile Developer
B.Sc Computer Science,Cybersecurity,5.74,No,1,"Python, Pandas, Machine Learning, SQL, Statistics, Excel, CSS",Data Scientist
MBA,Data Science,6.17,No,7,"Java, Kotlin, Swift, React Native, Roadmaps, Windows Server",Mobile Developer
BCA,AI & ML,9.26,No,6,"Java, Kotlin, Swift, React Native, Scikit-learn, Node.js",Mobile Developer
MCA,Networking,6.8,No,0,"Node.js, Python, Java, SQL, REST API, CSS, Power BI",Backend Developer
MBA,AI & ML,7.17,No,3,"Troubleshooting, Windows Server, Question/Answer, Oracle, UI/UX",IT Support Specialist
MCA,Software Engineering,6.54,Yes,9,"Agile, Scrum, Leadership, Planning, Question/Answer, Excel",Project Manager
M.Sc CS,Software Engineering,8.83,Yes,1,"Figma, Adobe XD, UI, UX, Pandas, CI/CD",UI/UX Designer
MCA,Web Development,7.35,Yes,2,"Networking, Security, Linux, TensorFlow, Selenium",Network Administrator
MBA,Software Engineering,6.95,No,7,"AWS, Azure, GCP, Docker, REST API, NoSQL",Cloud Engineer
M.Tech CS,Networking,5.56,Yes,2,"Agile, Scrum, Leadership, Planning, Docker, Question/Answer",Project Manager
BCA,Cybersecurity,7.31,No,8,"AWS, Azure, GCP, Docker, UI/UX, Java",Cloud Engineer
BCA,Cybersecurity,8.13,Yes,7,"Linux, Windows Server, Networking, MySQL, Scikit-learn",System Administrator
M.Sc CS,AI & ML,6.81,Yes,8,"Node.js, Python, Java, SQL, REST API, Kubernetes, Oracle",Backend Developer
M.Sc CS,Mobile Development,8.51,Yes,2,"HTML, CSS, JavaScript, React, Node.js, Git, DSA, Pandas",Full Stack Developer
MBA,Mobile Development,8.43,Yes,5,"Python, SQL, Excel, Power BI, Selenium, C++",Data Analyst
B.Tech CS,Mobile Development,6.69,Yes,6,"Agile, Scrum, Leadership, Planning, SQL, Selenium",Project Manager
B.Tech IT,Software Engineering,7.65,Yes,4,"SQL, Oracle, MySQL, NoSQL, Statistics, Machine Learning",Database Administrator
B.Tech CS,Software Engineering,9.9,No,4,"Linux, Windows Server, Networking, Kubernetes, Machine Learning",System Administrator
B.Tech CS,Cybersecurity,6.49,Yes,10,"Docker, Kubernetes, CI/CD, AWS, Linux, Agile, Power BI",DevOps Engineer
MCA,Cloud Computing,6.16,No,9,"Figma, Adobe XD, UI, UX, Networking, Security",UI/UX Designer
B.Sc Computer Science,AI & ML,6.7,No,1,"Troubleshooting, Windows Server, Question/Answer, Pandas, Roadmaps",IT Support Specialist
M.Sc CS,Mobile Development,9.01,No,1,"Python, Pandas, Machine Learning, SQL, Statistics, Kotlin, Leadership",Data Scientist
B.Tech IT,Networking,8.7,Yes,8,"Python, Pandas, Machine Learning, SQL, Statistics, Security, Java",Data Scientist
MBA,Cloud Computing,6.7,No,10,"Python, Machine Learning, TensorFlow, Scikit-learn, UI, Azure",ML Engineer
B.Sc Computer Science,Web Development,8.68,Yes,9,"Python, Java, C++, DSA, Git, Oracle, JavaScript",Software Developer
BCA,Data Science,7.69,Yes,9,"Figma, Adobe XD, UI, UX, NoSQL, Roadmaps",UI/UX Designer
B.Sc Computer Science,Software Engineering,5.91,Yes,8,"Linux, Windows Server, Networking, SQL, Scikit-learn",System Administrator
B.Tech CS,Software Engineering,6.63,Yes,4,"Agile, Leadership, Communication, Roadmaps, Question/Answer, REST API",Product Manager
M.Tech CS,Networking,5.69,No,1,"Networking, Cyber Security, Linux, Firewalls, Planning, JavaScript",Cyber Security Analyst
B.Sc Computer Science,Web Development,8.1,No,8,"Networking, Security, Linux, NoSQL, Agile",Network Administrator
MCA,Software Engineering,9.77,Yes,9,"Networking, Security, Linux, NoSQL, Troubleshooting",Network Administrator
B.Tech IT,Networking,5.7,No,6,"Node.js, Python, Java, SQL, REST API, Question/Answer, Cyber Security",Backend Developer
M.Tech CS,Mobile Development,9.62,No,4,"AWS, Azure, GCP, Docker, CI/CD, Scikit-learn",Cloud Engineer
B.Tech CS,Networking,8.2,Yes,0,"Networking, Cyber Security, Linux, Firewalls, Azure, NoSQL",Cyber Security Analyst
M.Sc CS,Cloud Computing,8.1,No,2,"Python, Pandas, Machine Learning, SQL, Statistics, JavaScript, Kotlin",Data Scientist
M.Sc CS,Data Science,7.29,No,9,"HTML, CSS, JavaScript, React, UI/UX, Machine Learning, Leadership",Frontend Developer
B.Tech IT,Web Development,8.27,Yes,0,"SQL, Oracle, MySQL, NoSQL, Planning, Leadership",Database Administrator
MBA,Software Engineering,6.44,No,10,"HTML, CSS, JavaScript, React, UI/UX, Question/Answer, TensorFlow",Frontend Developer
MBA,Cloud Computing,9.73,No,5,"Python, Pandas, Machine Learning, SQL, Statistics, Scrum, AWS",Data Scientist
MCA,Mobile Development,6.74,No,8,"Selenium, Testing, Automation, Git, Kotlin, Java",QA/Test Engineer
M.Tech CS,Cybersecurity,8.7,Yes,7,"Troubleshooting, Windows Server, Question/Answer, Adobe XD, Excel",IT Support Specialist
M.Tech CS,Cybersecurity,8.05,No,2,"Figma, Adobe XD, UI, UX, Networking, Troubleshooting",UI/UX Designer
MCA,Mobile Development,7.95,No,4,"Node.js, Python, Java, SQL, REST API, MySQL, Excel",Backend Developer
M.Sc CS,Mobile Development,9.71,Yes,2,"Networking, Cyber Security, Linux, Firewalls, UX, Troubleshooting",Cyber Security Analyst
M.Sc CS,Data Science,6.18,No,3,"Python, Java, C++, DSA, Git, SQL, REST API",Software Developer
BCA,Networking,8.16,No,0,"Linux, Windows Server, Networking, Troubleshooting, C++",System Administrator
B.Tech CS,Data Science,9.65,Yes,8,"Troubleshooting, Windows Server, Question/Answer, UI, HTML",IT Support Specialist
M.Sc CS,Cloud Computing,6.96,Yes,1,"AWS, Azure, GCP, Docker, Swift, Kotlin",Cloud Engineer
B.Tech IT,Web Development,5.56,Yes,10,"Java, Kotlin, Swift, React Native, Leadership, Docker",Mobile Developer
BCA,Cloud Computing,9.03,No,9,"Figma, Adobe XD, UI, UX, Windows Server, CSS",UI/UX Designer
B.Sc Computer Science,Mobile Development,9.74,No,7,"Python, SQL, Excel, Power BI, Cyber Security, Selenium",Data Analyst
B.Tech CS,Software Engineering,7.68,Yes,7,"Python, Machine Learning, TensorFlow, Scikit-learn, Adobe XD, JavaScript",ML Engineer
BCA,AI & ML,9.85,No,5,"Node.js, Python, Java, SQL, REST API, Testing, Planning",Backend Developer
BCA,AI & ML,8.4,No,8,"Selenium, Testing, Automation, Git, CSS, Windows Server",QA/Test Engineer
M.Tech CS,Networking,9.82,No,6,"Agile, Scrum, Leadership, Planning, Scikit-learn, Statistics",Project Manager
B.Sc Computer Science,Cybersecurity,9.12,Yes,7,"Excel, Power BI, SQL, Communication, Kubernetes, UI/UX",Business Analyst
BCA,Networking,9.0,Yes,2,"Python, Java, C++, DSA, Git, Cyber Security, Firewalls",Software Developer
B.Tech IT,Mobile Development,8.47,Yes,4,"Excel, Power BI, SQL, Communication, Statistics, Security",Business Analyst
B.Tech CS,Mobile Development,8.15,Yes,3,"HTML, CSS, JavaScript, React, Node.js, Git, Networking, REST API",Full Stack Developer
B.Tech CS,Software Engineering,7.85,Yes,3,"HTML, CSS, JavaScript, React, Node.js, Git, Communication, Automation",Full Stack Developer
B.Tech IT,Data Science,6.08,No,9,"HTML, CSS, JavaScript, React, Node.js, Git, Networking, React Native",Full Stack Developer
B.Tech CS,Mobile Development,9.42,No,9,"Linux, Windows Server, Networking, Figma, UX",System Administrator
BCA,Cybersecurity,5.66,Yes,2,"SQL, Oracle, MySQL, NoSQL, Roadmaps, Power BI",Database Administrator
B.Tech CS,Cloud Computing,8.96,Yes,3,"Networking, Cyber Security, Linux, Firewalls, Adobe XD, Azure",Cyber Security Analyst
M.Sc CS,Web Development,8.99,Yes,10,"Java, Kotlin, Swift, React Native, Figma, Machine Learning",Mobile Developer
B.Sc Computer Science,Data Science,8.89,Yes,2,"HTML, CSS, JavaScript, React, UI/UX, Git, UI",Frontend Developer
B.Sc Computer Science,Data Science,7.96,Yes,6,"SQL, Oracle, MySQL, NoSQL, REST API, Azure",Database Administrator
MBA,Cybersecurity,9.1,Yes,2,"HTML, CSS, JavaScript, React, Node.js, Git, Agile, Troubleshooting",Full Stack Developer
BCA,Mobile Development,6.69,No,4,"Networking, Cyber Security, Linux, Firewalls, Statistics, Scrum",Cyber Security Analyst
B.Tech IT,Data Science,8.44,No,6,"Python, Machine Learning, TensorFlow, Scikit-learn, Oracle, Pandas",ML Engineer
MBA,Mobile Development,9.54,Yes,8,"AWS, Azure, GCP, Docker, Power BI, UI/UX",Cloud Engineer
MCA,Networking,7.99,No,1,"Agile, Leadership, Communication, Roadmaps, Git, Docker",Product Manager
M.Tech CS,Data Science,8.88,No,7,"SQL, Oracle, MySQL, NoSQL, Node.js, Python",Database Administrator
MCA,Data Science,8.45,Yes,7,"Python, Java, C++, DSA, Git, Planning, Leadership",Software Developer
BCA,Web Development,7.32,Yes,7,"Java, Kotlin, Swift, React Native, UX, Power BI",Mobile Developer
B.Tech CS,Cybersecurity,9.55,No,7,"Linux, Windows Server, Networking, Statistics, Kotlin",System Administrator
B.Tech IT,Web Development,6.92,Yes,10,"Node.js, Python, Java, SQL, REST API, Planning, UX",Backend Developer
B.Tech IT,Data Science,8.37,Yes,1,"HTML, CSS, JavaScript, React, Node.js, Git, Security, Question/Answer",Full Stack Developer
B.Tech CS,Software Engineering,6.21,Yes,8,"Linux, Windows Server, Networking, Figma, AWS",System Administrator
M.Sc CS,Networking,7.49,Yes,7,"Selenium, Testing, Automation, Git, REST API, Kubernetes",QA/Test Engineer
B.Tech CS,Mobile Development,9.6,No,8,"Python, Machine Learning, TensorFlow, Scikit-learn, Git, Azure",ML Engineer
M.Tech CS,Cloud Computing,6.84,No,8,"Python, Machine Learning, TensorFlow, Scikit-learn, Java, CI/CD",ML Engineer
MBA,Networking,7.04,Yes,6,"Docker, Kubernetes, CI/CD, AWS, Linux, Troubleshooting, Machine Learning",DevOps Engineer
B.Tech IT,Networking,8.27,Yes,3,"SQL, Oracle, MySQL, NoSQL, Leadership, Scikit-learn",Database Administrator
M.Tech CS,Mobile Development,7.57,Yes,7,"AWS, Azure, GCP, Docker, Communication, React",Cloud Engineer
MCA,Web Development,6.19,Yes,5,"Agile, Scrum, Leadership, Planning, C++, GCP",Project Manager
M.Tech CS,Mobile Development,8.53,No,1,"AWS, Azure, GCP, Docker, CSS, CI/CD",Cloud Engineer
B.Tech CS,Networking,6.2,Yes,1,"Python, SQL, Excel, Power BI, Figma, Question/Answer",Data Analyst
B.Sc Computer Science,Cloud Computing,7.28,No,10,"Python, Machine Learning, TensorFlow, Scikit-learn, AWS, Docker",ML Engineer
MBA,Cybersecurity,6.99,No,10,"SQL, Oracle, MySQL, NoSQL, Automation, Azure",Database Administrator
B.Tech CS,Web Development,8.47,Yes,4,"Node.js, Python, Java, SQL, REST API, Selenium, C++",Backend Developer
MBA,Mobile Development,6.8,Yes,1,"Docker, Kubernetes, CI/CD, AWS, Linux, HTML, UI",DevOps Engineer
BCA,AI & ML,9.07,Yes,3,"Python, Pandas, Machine Learning, SQL, Statistics, Automation, Linux",Data Scientist
B.Tech CS,Mobile Development,7.62,No,3,"Agile, Leadership, Communication, Roadmaps, JavaScript, React Native",Product Manager
B.Tech IT,Cybersecurity,7.42,Yes,0,"SQL, Oracle, MySQL, NoSQL, Scikit-learn, AWS",Database Administrator
BCA,AI & ML,8.06,No,7,"Java, Kotlin, Swift, React Native, Agile, Git",Mobile Developer
MBA,Networking,5.64,No,5,"Selenium, Testing, Automation, Git, Adobe XD, SQL",QA/Test Engineer
M.Sc CS,Networking,7.54,No,7,"Agile, Leadership, Communication, Roadmaps, Machine Learning, UI/UX",Product Manager
MBA,Mobile Development,9.24,Yes,7,"Node.js, Python, Java, SQL, REST API, Swift, Cyber Security",Backend Developer
M.Tech CS,Cybersecurity,6.96,Yes,3,"Networking, Cyber Security, Linux, Firewalls, Machine Learning, C++",Cyber Security Analyst
B.Tech IT,Mobile Development,8.08,No,4,"Networking, Cyber Security, Linux, Firewalls, Excel, React Native",Cyber Security Analyst
M.Sc CS,Cybersecurity,5.63,No,6,"HTML, CSS, JavaScript, React, UI/UX, TensorFlow, Power BI",Frontend Developer
B.Tech IT,Cybersecurity,9.92,Yes,7,"Troubleshooting, Windows Server, Question/Answer, Figma, Planning",IT Support Specialist
BCA,Software Engineering,8.22,Yes,9,"Python, Java, C++, DSA, Git, React, Kotlin",Software Developer
BCA,AI & ML,9.41,Yes,9,"Node.js, Python, Java, SQL, REST API, JavaScript, Communication",Backend Developer
M.Sc CS,Networking,8.13,Yes,4,"HTML, CSS, JavaScript, React, Node.js, Git, Swift, Oracle",Full Stack Developer
B.Sc Computer Science,Cybersecurity,5.81,Yes,5,"Python, SQL, Excel, Power BI, Machine Learning, UX",Data Analyst
B.Sc Computer Science,Web Development,7.43,No,10,"Linux, Windows Server, Networking, TensorFlow, Roadmaps",System Administrator
M.Tech CS,Data Science,6.84,Yes,9,"Agile, Leadership, Communication, Roadmaps, Kotlin, Machine Learning",Product Manager
B.Tech CS,Software Engineering,7.39,Yes,9,"AWS, Azure, GCP, Docker, Leadership, Planning",Cloud Engineer
MBA,Data Science,6.69,Yes,9,"Python, Java, C++, DSA, Git, Firewalls, TensorFlow",Software Developer
B.Tech IT,Networking,7.64,No,5,"Agile, Scrum, Leadership, Planning, Adobe XD, Git",Project Manager
M.Sc CS,Networking,6.89,No,7,"Java, Kotlin, Swift, React Native, Communication, Firewalls",Mobile Developer
B.Sc Computer Science,Cybersecurity,7.09,No,0,"Networking, Security, Linux, Excel, Communication",Network Administrator
MBA,Data Science,8.77,No,5,"Python, Machine Learning, TensorFlow, Scikit-learn, REST API, Excel",ML Engineer
M.Tech CS,Data Science,8.46,No,10,"Selenium, Testing, Automation, Git, GCP, React Native",QA/Test Engineer
B.Tech CS,AI & ML,7.12,No,0,"HTML, CSS, JavaScript, React, Node.js, Git, MySQL, Statistics",Full Stack Developer
M.Sc CS,Cybersecurity,7.42,No,5,"Java, Kotlin, Swift, React Native, Kubernetes, Roadmaps",Mobile Developer
MCA,Data Science,7.15,Yes,5,"HTML, CSS, JavaScript, React, UI/UX, Linux, C++",Frontend Developer
B.Tech CS,Mobile Development,6.16,Yes,3,"Python, Java, C++, DSA, Git, Adobe XD, SQL",Software Developer
BCA,Cybersecurity,9.0,No,5,"Linux, Windows Server, Networking, React, CSS",System Administrator
B.Tech IT,Cloud Computing,8.1,Yes,9,"Java, Kotlin, Swift, React Native, Git, Linux",Mobile Developer
MCA,Data Science,7.66,Yes,6,"Java, Kotlin, Swift, React Native, JavaScript, Security",Mobile Developer
B.Sc Computer Science,Web Development,8.36,Yes,7,"Python, Java, C++, DSA, Git, Scrum, GCP",Software Developer
M.Tech CS,AI & ML,6.43,Yes,6,"HTML, CSS, JavaScript, React, Node.js, Git, CI/CD, Excel",Full Stack Developer
MBA,Cloud Computing,5.97,No,5,"Troubleshooting, Windows Server, Question/Answer, Azure, Statistics",IT Support Specialist
MBA,Cybersecurity,5.76,No,6,"Agile, Scrum, Leadership, Planning, DSA, Machine Learning",Project Manager
MCA,Cloud Computing,5.77,Yes,5,"Python, SQL, Excel, Power BI, UI/UX, MySQL",Data Analyst
B.Sc Computer Science,Data Science,9.11,Yes,0,"HTML, CSS, JavaScript, React, UI/UX, Python, CI/CD",Frontend Developer
M.Tech CS,Networking,8.1,Yes,8,"SQL, Oracle, MySQL, NoSQL, Security, Machine Learning",Database Administrator
B.Tech CS,Cybersecurity,6.75,Yes,8,"Selenium, Testing, Automation, Git, C++, React Native",QA/Test Engineer
MBA,Web Development,7.7,No,3,"Python, SQL, Excel, Power BI, UX, Java",Data Analyst
MCA,Cloud Computing,7.86,No,3,"Agile, Leadership, Communication, Roadmaps, Swift, JavaScript",Product Manager
B.Tech CS,AI & ML,9.16,Yes,2,"Agile, Scrum, Leadership, Planning, Git, Java",Project Manager
M.Sc CS,AI & ML,9.25,No,10,"Figma, Adobe XD, UI, UX, CSS, Networking",UI/UX Designer
B.Tech IT,AI & ML,9.93,No,9,"Docker, Kubernetes, CI/CD, AWS, Linux, Oracle, Communication",DevOps Engineer
MBA,Cloud Computing,8.0,No,2,"Networking, Cyber Security, Linux, Firewalls, Automation, UI/UX",Cyber Security Analyst
M.Tech CS,Data Science,7.53,No,5,"Agile, Scrum, Leadership, Planning, Selenium, UI/UX",Project Manager
MBA,Networking,7.45,Yes,10,"SQL, Oracle, MySQL, NoSQL, Planning, UI",Database Administrator
MCA,Data Science,6.73,Yes,10,"Figma, Adobe XD, UI, UX, TensorFlow, Troubleshooting",UI/UX Designer
MBA,Software Engineering,6.54,No,3,"Python, SQL, Excel, Power BI, HTML, Security",Data Analyst
MCA,Networking,9.64,No,0,"HTML, CSS, JavaScript, React, Node.js, Git, Linux, Question/Answer",Full Stack Developer
B.Tech IT,Networking,7.3,No,2,"Node.js, Python, Java, SQL, REST API, Selenium, React",Backend Developer
BCA,Mobile Development,9.43,No,3,"Networking, Security, Linux, Kotlin, Docker",Network Administrator
BCA,Data Science,6.69,No,3,"Agile, Leadership, Communication, Roadmaps, Troubleshooting, JavaScript",Product Manager
M.Sc CS,Cybersecurity,9.11,No,6,"AWS, Azure, GCP, Docker, C++, Scrum",Cloud Engineer
MBA,Web Development,7.59,Yes,3,"Docker, Kubernetes, CI/CD, AWS, Linux, Swift, Azure",DevOps Engineer
BCA,Web Development,9.54,No,4,"Troubleshooting, Windows Server, Question/Answer, Git, MySQL",IT Support Specialist
M.Sc CS,Cloud Computing,5.97,No,5,"SQL, Oracle, MySQL, NoSQL, Automation, Security",Database Administrator
BCA,Data Science,6.15,Yes,5,"Agile, Scrum, Leadership, Planning, Figma, Docker",Project Manager
BCA,AI & ML,8.46,No,6,"Linux, Windows Server, Networking, Java, React Native",System Administrator
MCA,Data Science,5.76,No,8,"Java, Kotlin, Swift, React Native, CSS, Communication",Mobile Developer
B.Tech CS,Cloud Computing,9.29,Yes,8,"Troubleshooting, Windows Server, Question/Answer, CSS, NoSQL",IT Support Specialist
B.Tech CS,Cybersecurity,9.6,Yes,1,"Python, SQL, Excel, Power BI, Networking, React Native",Data Analyst
MCA,Mobile Development,6.33,Yes,9,"HTML, CSS, JavaScript, React, UI/UX, Pandas, React Native",Frontend Developer
M.Tech CS,Data Science,8.57,No,8,"SQL, Oracle, MySQL, NoSQL, Linux, AWS",Database Administrator
B.Sc Computer Science,Data Science,7.34,Yes,10,"Python, Machine Learning, TensorFlow, Scikit-learn, NoSQL, SQL",ML Engineer
MBA,Cloud Computing,6.58,Yes,2,"Networking, Cyber Security, Linux, Firewalls, Power BI, Communication",Cyber Security Analyst
B.Tech IT,Cybersecurity,8.21,No,5,"Agile, Leadership, Communication, Roadmaps, Testing, Networking",Product Manager
MBA,Cybersecurity,6.05,Yes,5,"Docker, Kubernetes, CI/CD, AWS, Linux, Pandas, DSA",DevOps Engineer
MCA,AI & ML,8.68,Yes,8,"Figma, Adobe XD, UI, UX, DSA, Automation",UI/UX Designer
